Week,VALE SA: (Brazil)
2014-01-05,41
2014-01-12,62
2014-01-19,72
2014-01-26,54
2014-02-02,43
2014-02-09,91
2014-02-16,70
2014-02-23,73
2014-03-02,66
2014-03-09,52
2014-03-16,44
2014-03-23,57
2014-03-30,50
2014-04-06,45
2014-04-13,62
2014-04-20,100
2014-04-27,34
2014-05-04,45
2014-05-11,45
2014-05-18,39
2014-05-25,54
2014-06-01,61
2014-06-08,21
2014-06-15,77
2014-06-22,43
2014-06-29,43
2014-07-06,50
2014-07-13,69
2014-07-20,74
2014-07-27,74
2014-08-03,43
2014-08-10,61
2014-08-17,53
2014-08-24,46
2014-08-31,90
2014-09-07,60
2014-09-14,59
2014-09-21,59
2014-09-28,53
2014-10-05,73
2014-10-12,41
2014-10-19,60
2014-10-26,85
2014-11-02,46
2014-11-09,60
2014-11-16,27
2014-11-23,51
2014-11-30,47
2014-12-07,82
2014-12-14,57
2014-12-21,43
2014-12-28,65
