accuracy,k,windows_size
100.00%,1.0,1.0
100.00%,2.0,1.0
100.00%,3.0,1.0
100.00%,4.0,1.0
100.00%,5.0,1.0
100.00%,6.0,1.0
100.00%,7.0,1.0
100.00%,8.0,1.0
100.00%,9.0,1.0
100.00%,10.0,1.0
50.00%,1.0,3.0
42.86%,2.0,3.0
31.82%,3.0,3.0
26.67%,4.0,3.0
31.58%,5.0,3.0
58.70%,6.0,3.0
42.59%,7.0,3.0
45.16%,8.0,3.0
52.86%,9.0,3.0
55.13%,10.0,3.0
50.00%,1.0,5.0
50.00%,2.0,5.0
54.55%,3.0,5.0
53.33%,4.0,5.0
50.00%,5.0,5.0
36.96%,6.0,5.0
40.74%,7.0,5.0
46.77%,8.0,5.0
41.43%,9.0,5.0
37.18%,10.0,5.0
16.67%,1.0,7.0
50.00%,2.0,7.0
22.73%,3.0,7.0
26.67%,4.0,7.0
34.21%,5.0,7.0
52.17%,6.0,7.0
46.30%,7.0,7.0
37.10%,8.0,7.0
35.71%,9.0,7.0
37.18%,10.0,7.0
