accuracy,k,windows_size
66.67%,1.0,1.0
64.29%,2.0,1.0
36.36%,3.0,1.0
50.00%,4.0,1.0
50.00%,5.0,1.0
56.52%,6.0,1.0
57.41%,7.0,1.0
54.84%,8.0,1.0
41.43%,9.0,1.0
53.85%,10.0,1.0
66.67%,1.0,3.0
64.29%,2.0,3.0
36.36%,3.0,3.0
50.00%,4.0,3.0
50.00%,5.0,3.0
56.52%,6.0,3.0
57.41%,7.0,3.0
54.84%,8.0,3.0
41.43%,9.0,3.0
47.44%,10.0,3.0
66.67%,1.0,5.0
64.29%,2.0,5.0
36.36%,3.0,5.0
50.00%,4.0,5.0
50.00%,5.0,5.0
56.52%,6.0,5.0
57.41%,7.0,5.0
54.84%,8.0,5.0
41.43%,9.0,5.0
53.85%,10.0,5.0
66.67%,1.0,7.0
64.29%,2.0,7.0
36.36%,3.0,7.0
50.00%,4.0,7.0
50.00%,5.0,7.0
56.52%,6.0,7.0
57.41%,7.0,7.0
54.84%,8.0,7.0
41.43%,9.0,7.0
53.85%,10.0,7.0
