accuracy,alpha,beta,period
0.42105263157894735,0.1,0.1,1.0
0.42105263157894735,0.1,0.2,1.0
0.47368421052631576,0.1,0.3,1.0
0.5789473684210527,0.1,0.5,1.0
0.5789473684210527,0.1,0.6,1.0
0.5789473684210527,0.1,0.7,1.0
0.5789473684210527,0.1,0.8,1.0
0.631578947368421,0.1,0.9,1.0
0.5263157894736842,0.2,0.1,1.0
0.5263157894736842,0.2,0.2,1.0
0.5263157894736842,0.2,0.3,1.0
0.6842105263157895,0.2,0.5,1.0
0.631578947368421,0.2,0.6,1.0
0.5789473684210527,0.2,0.7,1.0
0.631578947368421,0.2,0.8,1.0
0.631578947368421,0.2,0.9,1.0
0.5789473684210527,0.3,0.1,1.0
0.5789473684210527,0.3,0.2,1.0
0.5263157894736842,0.3,0.3,1.0
0.5789473684210527,0.3,0.5,1.0
0.631578947368421,0.3,0.6,1.0
0.631578947368421,0.3,0.7,1.0
0.631578947368421,0.3,0.8,1.0
0.631578947368421,0.3,0.9,1.0
0.5263157894736842,0.5,0.1,1.0
0.5789473684210527,0.5,0.2,1.0
0.5263157894736842,0.5,0.3,1.0
0.47368421052631576,0.5,0.5,1.0
0.5263157894736842,0.5,0.6,1.0
0.5263157894736842,0.5,0.7,1.0
0.5263157894736842,0.5,0.8,1.0
0.5263157894736842,0.5,0.9,1.0
0.5263157894736842,0.6,0.1,1.0
0.5263157894736842,0.6,0.2,1.0
0.5263157894736842,0.6,0.3,1.0
0.47368421052631576,0.6,0.5,1.0
0.47368421052631576,0.6,0.6,1.0
0.47368421052631576,0.6,0.7,1.0
0.47368421052631576,0.6,0.8,1.0
0.47368421052631576,0.6,0.9,1.0
0.5263157894736842,0.7,0.1,1.0
0.5263157894736842,0.7,0.2,1.0
0.5263157894736842,0.7,0.3,1.0
0.47368421052631576,0.7,0.5,1.0
0.47368421052631576,0.7,0.6,1.0
0.47368421052631576,0.7,0.7,1.0
0.47368421052631576,0.7,0.8,1.0
0.5789473684210527,0.7,0.9,1.0
0.5263157894736842,0.8,0.1,1.0
0.5263157894736842,0.8,0.2,1.0
0.5263157894736842,0.8,0.3,1.0
0.5263157894736842,0.8,0.5,1.0
0.5263157894736842,0.8,0.6,1.0
0.5789473684210527,0.8,0.7,1.0
0.5789473684210527,0.8,0.8,1.0
0.5789473684210527,0.8,0.9,1.0
0.5263157894736842,0.9,0.1,1.0
0.5263157894736842,0.9,0.2,1.0
0.5263157894736842,0.9,0.3,1.0
0.5263157894736842,0.9,0.5,1.0
0.5789473684210527,0.9,0.6,1.0
0.5789473684210527,0.9,0.7,1.0
0.6842105263157895,0.9,0.8,1.0
0.6842105263157895,0.9,0.9,1.0
0.34210526315789475,0.1,0.1,2.0
0.39473684210526316,0.1,0.2,2.0
0.39473684210526316,0.1,0.3,2.0
0.5,0.1,0.5,2.0
0.5,0.1,0.6,2.0
0.5263157894736842,0.1,0.7,2.0
0.5,0.1,0.8,2.0
0.5526315789473685,0.1,0.9,2.0
0.4473684210526316,0.2,0.1,2.0
0.4473684210526316,0.2,0.2,2.0
0.42105263157894735,0.2,0.3,2.0
0.5,0.2,0.5,2.0
0.47368421052631576,0.2,0.6,2.0
0.42105263157894735,0.2,0.7,2.0
0.4473684210526316,0.2,0.8,2.0
0.4473684210526316,0.2,0.9,2.0
0.4473684210526316,0.3,0.1,2.0
0.47368421052631576,0.3,0.2,2.0
0.42105263157894735,0.3,0.3,2.0
0.42105263157894735,0.3,0.5,2.0
0.4473684210526316,0.3,0.6,2.0
0.47368421052631576,0.3,0.7,2.0
0.47368421052631576,0.3,0.8,2.0
0.47368421052631576,0.3,0.9,2.0
0.39473684210526316,0.5,0.1,2.0
0.42105263157894735,0.5,0.2,2.0
0.39473684210526316,0.5,0.3,2.0
0.39473684210526316,0.5,0.5,2.0
0.47368421052631576,0.5,0.6,2.0
0.47368421052631576,0.5,0.7,2.0
0.4473684210526316,0.5,0.8,2.0
0.4473684210526316,0.5,0.9,2.0
0.42105263157894735,0.6,0.1,2.0
0.4473684210526316,0.6,0.2,2.0
0.4473684210526316,0.6,0.3,2.0
0.42105263157894735,0.6,0.5,2.0
0.42105263157894735,0.6,0.6,2.0
0.42105263157894735,0.6,0.7,2.0
0.39473684210526316,0.6,0.8,2.0
0.39473684210526316,0.6,0.9,2.0
0.42105263157894735,0.7,0.1,2.0
0.42105263157894735,0.7,0.2,2.0
0.42105263157894735,0.7,0.3,2.0
0.39473684210526316,0.7,0.5,2.0
0.39473684210526316,0.7,0.6,2.0
0.39473684210526316,0.7,0.7,2.0
0.3684210526315789,0.7,0.8,2.0
0.4473684210526316,0.7,0.9,2.0
0.3684210526315789,0.8,0.1,2.0
0.42105263157894735,0.8,0.2,2.0
0.42105263157894735,0.8,0.3,2.0
0.4473684210526316,0.8,0.5,2.0
0.42105263157894735,0.8,0.6,2.0
0.4473684210526316,0.8,0.7,2.0
0.4473684210526316,0.8,0.8,2.0
0.4473684210526316,0.8,0.9,2.0
0.39473684210526316,0.9,0.1,2.0
0.42105263157894735,0.9,0.2,2.0
0.42105263157894735,0.9,0.3,2.0
0.42105263157894735,0.9,0.5,2.0
0.4473684210526316,0.9,0.6,2.0
0.4473684210526316,0.9,0.7,2.0
0.5263157894736842,0.9,0.8,2.0
0.5263157894736842,0.9,0.9,2.0
0.36666666666666664,0.1,0.1,3.0
0.4,0.1,0.2,3.0
0.4166666666666667,0.1,0.3,3.0
0.5,0.1,0.5,3.0
0.5166666666666667,0.1,0.6,3.0
0.5333333333333333,0.1,0.7,3.0
0.5166666666666667,0.1,0.8,3.0
0.5666666666666667,0.1,0.9,3.0
0.45,0.2,0.1,3.0
0.4666666666666667,0.2,0.2,3.0
0.45,0.2,0.3,3.0
0.55,0.2,0.5,3.0
0.5166666666666667,0.2,0.6,3.0
0.4666666666666667,0.2,0.7,3.0
0.48333333333333334,0.2,0.8,3.0
0.4666666666666667,0.2,0.9,3.0
0.4666666666666667,0.3,0.1,3.0
0.4666666666666667,0.3,0.2,3.0
0.43333333333333335,0.3,0.3,3.0
0.43333333333333335,0.3,0.5,3.0
0.4666666666666667,0.3,0.6,3.0
0.48333333333333334,0.3,0.7,3.0
0.48333333333333334,0.3,0.8,3.0
0.5166666666666667,0.3,0.9,3.0
0.45,0.5,0.1,3.0
0.48333333333333334,0.5,0.2,3.0
0.4666666666666667,0.5,0.3,3.0
0.4666666666666667,0.5,0.5,3.0
0.5,0.5,0.6,3.0
0.5,0.5,0.7,3.0
0.4666666666666667,0.5,0.8,3.0
0.48333333333333334,0.5,0.9,3.0
0.4666666666666667,0.6,0.1,3.0
0.48333333333333334,0.6,0.2,3.0
0.48333333333333334,0.6,0.3,3.0
0.4666666666666667,0.6,0.5,3.0
0.48333333333333334,0.6,0.6,3.0
0.48333333333333334,0.6,0.7,3.0
0.4666666666666667,0.6,0.8,3.0
0.4666666666666667,0.6,0.9,3.0
0.4666666666666667,0.7,0.1,3.0
0.4666666666666667,0.7,0.2,3.0
0.4666666666666667,0.7,0.3,3.0
0.4666666666666667,0.7,0.5,3.0
0.4666666666666667,0.7,0.6,3.0
0.4666666666666667,0.7,0.7,3.0
0.45,0.7,0.8,3.0
0.48333333333333334,0.7,0.9,3.0
0.43333333333333335,0.8,0.1,3.0
0.4666666666666667,0.8,0.2,3.0
0.4666666666666667,0.8,0.3,3.0
0.48333333333333334,0.8,0.5,3.0
0.4666666666666667,0.8,0.6,3.0
0.48333333333333334,0.8,0.7,3.0
0.5,0.8,0.8,3.0
0.5166666666666667,0.8,0.9,3.0
0.45,0.9,0.1,3.0
0.4666666666666667,0.9,0.2,3.0
0.4666666666666667,0.9,0.3,3.0
0.4666666666666667,0.9,0.5,3.0
0.5166666666666667,0.9,0.6,3.0
0.5166666666666667,0.9,0.7,3.0
0.5666666666666667,0.9,0.8,3.0
0.5833333333333334,0.9,0.9,3.0
0.3924050632911392,0.1,0.1,4.0
0.43037974683544306,0.1,0.2,4.0
0.4430379746835443,0.1,0.3,4.0
0.5063291139240507,0.1,0.5,4.0
0.5316455696202531,0.1,0.6,4.0
0.5443037974683544,0.1,0.7,4.0
0.5443037974683544,0.1,0.8,4.0
0.5822784810126582,0.1,0.9,4.0
0.4810126582278481,0.2,0.1,4.0
0.4936708860759494,0.2,0.2,4.0
0.4810126582278481,0.2,0.3,4.0
0.5569620253164557,0.2,0.5,4.0
0.5316455696202531,0.2,0.6,4.0
0.4936708860759494,0.2,0.7,4.0
0.4936708860759494,0.2,0.8,4.0
0.4936708860759494,0.2,0.9,4.0
0.4936708860759494,0.3,0.1,4.0
0.4936708860759494,0.3,0.2,4.0
0.4810126582278481,0.3,0.3,4.0
0.46835443037974683,0.3,0.5,4.0
0.4936708860759494,0.3,0.6,4.0
0.5063291139240507,0.3,0.7,4.0
0.5063291139240507,0.3,0.8,4.0
0.5063291139240507,0.3,0.9,4.0
0.46835443037974683,0.5,0.1,4.0
0.4936708860759494,0.5,0.2,4.0
