accuracy,alpha,beta,period
0.5,0.1,0.1,1.0
0.5,0.1,0.2,1.0
0.5,0.1,0.3,1.0
0.45,0.1,0.5,1.0
0.45,0.1,0.6,1.0
0.5,0.1,0.7,1.0
0.55,0.1,0.8,1.0
0.55,0.1,0.9,1.0
0.5,0.2,0.1,1.0
0.45,0.2,0.2,1.0
0.55,0.2,0.3,1.0
0.55,0.2,0.5,1.0
0.55,0.2,0.6,1.0
0.5,0.2,0.7,1.0
0.55,0.2,0.8,1.0
0.45,0.2,0.9,1.0
0.45,0.3,0.1,1.0
0.45,0.3,0.2,1.0
0.45,0.3,0.3,1.0
0.45,0.3,0.5,1.0
0.45,0.3,0.6,1.0
0.45,0.3,0.7,1.0
0.45,0.3,0.8,1.0
0.45,0.3,0.9,1.0
0.45,0.5,0.1,1.0
0.45,0.5,0.2,1.0
0.4,0.5,0.3,1.0
0.45,0.5,0.5,1.0
0.5,0.5,0.6,1.0
0.5,0.5,0.7,1.0
0.45,0.5,0.8,1.0
0.45,0.5,0.9,1.0
0.35,0.6,0.1,1.0
0.35,0.6,0.2,1.0
0.35,0.6,0.3,1.0
0.4,0.6,0.5,1.0
0.4,0.6,0.6,1.0
0.45,0.6,0.7,1.0
0.45,0.6,0.8,1.0
0.45,0.6,0.9,1.0
0.35,0.7,0.1,1.0
0.35,0.7,0.2,1.0
0.35,0.7,0.3,1.0
0.35,0.7,0.5,1.0
0.35,0.7,0.6,1.0
0.35,0.7,0.7,1.0
0.4,0.7,0.8,1.0
0.4,0.7,0.9,1.0
0.35,0.8,0.1,1.0
0.35,0.8,0.2,1.0
0.35,0.8,0.3,1.0
0.35,0.8,0.5,1.0
0.35,0.8,0.6,1.0
0.4,0.8,0.7,1.0
0.4,0.8,0.8,1.0
0.4,0.8,0.9,1.0
0.3,0.9,0.1,1.0
0.35,0.9,0.2,1.0
0.35,0.9,0.3,1.0
0.4,0.9,0.5,1.0
0.4,0.9,0.6,1.0
0.45,0.9,0.7,1.0
0.4,0.9,0.8,1.0
0.5,0.9,0.9,1.0
0.39473684210526316,0.1,0.1,2.0
0.39473684210526316,0.1,0.2,2.0
0.3684210526315789,0.1,0.3,2.0
0.3157894736842105,0.1,0.5,2.0
0.3684210526315789,0.1,0.6,2.0
0.3684210526315789,0.1,0.7,2.0
0.39473684210526316,0.1,0.8,2.0
0.5,0.1,0.9,2.0
0.39473684210526316,0.2,0.1,2.0
0.3684210526315789,0.2,0.2,2.0
0.42105263157894735,0.2,0.3,2.0
0.42105263157894735,0.2,0.5,2.0
0.42105263157894735,0.2,0.6,2.0
0.42105263157894735,0.2,0.7,2.0
0.39473684210526316,0.2,0.8,2.0
0.34210526315789475,0.2,0.9,2.0
0.3684210526315789,0.3,0.1,2.0
0.3684210526315789,0.3,0.2,2.0
0.3157894736842105,0.3,0.3,2.0
0.3684210526315789,0.3,0.5,2.0
0.39473684210526316,0.3,0.6,2.0
0.3684210526315789,0.3,0.7,2.0
0.3684210526315789,0.3,0.8,2.0
0.3684210526315789,0.3,0.9,2.0
0.4473684210526316,0.5,0.1,2.0
0.4473684210526316,0.5,0.2,2.0
0.42105263157894735,0.5,0.3,2.0
0.4473684210526316,0.5,0.5,2.0
0.47368421052631576,0.5,0.6,2.0
0.47368421052631576,0.5,0.7,2.0
0.4473684210526316,0.5,0.8,2.0
0.47368421052631576,0.5,0.9,2.0
0.39473684210526316,0.6,0.1,2.0
0.39473684210526316,0.6,0.2,2.0
0.39473684210526316,0.6,0.3,2.0
0.4473684210526316,0.6,0.5,2.0
0.4473684210526316,0.6,0.6,2.0
0.47368421052631576,0.6,0.7,2.0
0.5,0.6,0.8,2.0
0.5,0.6,0.9,2.0
0.42105263157894735,0.7,0.1,2.0
0.42105263157894735,0.7,0.2,2.0
0.42105263157894735,0.7,0.3,2.0
0.42105263157894735,0.7,0.5,2.0
0.4473684210526316,0.7,0.6,2.0
0.4473684210526316,0.7,0.7,2.0
0.47368421052631576,0.7,0.8,2.0
0.4473684210526316,0.7,0.9,2.0
0.39473684210526316,0.8,0.1,2.0
0.39473684210526316,0.8,0.2,2.0
0.42105263157894735,0.8,0.3,2.0
0.42105263157894735,0.8,0.5,2.0
0.42105263157894735,0.8,0.6,2.0
0.4473684210526316,0.8,0.7,2.0
0.4473684210526316,0.8,0.8,2.0
0.47368421052631576,0.8,0.9,2.0
0.3684210526315789,0.9,0.1,2.0
0.39473684210526316,0.9,0.2,2.0
0.42105263157894735,0.9,0.3,2.0
0.4473684210526316,0.9,0.5,2.0
0.47368421052631576,0.9,0.6,2.0
0.5,0.9,0.7,2.0
0.47368421052631576,0.9,0.8,2.0
0.5526315789473685,0.9,0.9,2.0
0.4262295081967213,0.1,0.1,3.0
0.4262295081967213,0.1,0.2,3.0
0.4098360655737705,0.1,0.3,3.0
0.39344262295081966,0.1,0.5,3.0
0.4262295081967213,0.1,0.6,3.0
0.4426229508196721,0.1,0.7,3.0
0.45901639344262296,0.1,0.8,3.0
0.5409836065573771,0.1,0.9,3.0
0.4098360655737705,0.2,0.1,3.0
0.4426229508196721,0.2,0.2,3.0
0.4918032786885246,0.2,0.3,3.0
0.4918032786885246,0.2,0.5,3.0
0.47540983606557374,0.2,0.6,3.0
0.47540983606557374,0.2,0.7,3.0
0.4426229508196721,0.2,0.8,3.0
0.4262295081967213,0.2,0.9,3.0
0.4262295081967213,0.3,0.1,3.0
0.4426229508196721,0.3,0.2,3.0
0.39344262295081966,0.3,0.3,3.0
0.4262295081967213,0.3,0.5,3.0
0.45901639344262296,0.3,0.6,3.0
0.4426229508196721,0.3,0.7,3.0
0.47540983606557374,0.3,0.8,3.0
0.45901639344262296,0.3,0.9,3.0
0.45901639344262296,0.5,0.1,3.0
0.47540983606557374,0.5,0.2,3.0
0.47540983606557374,0.5,0.3,3.0
0.4918032786885246,0.5,0.5,3.0
0.4918032786885246,0.5,0.6,3.0
0.4918032786885246,0.5,0.7,3.0
0.47540983606557374,0.5,0.8,3.0
0.4918032786885246,0.5,0.9,3.0
0.4426229508196721,0.6,0.1,3.0
0.4426229508196721,0.6,0.2,3.0
0.4426229508196721,0.6,0.3,3.0
0.47540983606557374,0.6,0.5,3.0
0.45901639344262296,0.6,0.6,3.0
0.45901639344262296,0.6,0.7,3.0
0.47540983606557374,0.6,0.8,3.0
0.4918032786885246,0.6,0.9,3.0
0.45901639344262296,0.7,0.1,3.0
0.45901639344262296,0.7,0.2,3.0
0.45901639344262296,0.7,0.3,3.0
0.4262295081967213,0.7,0.5,3.0
0.4426229508196721,0.7,0.6,3.0
0.4426229508196721,0.7,0.7,3.0
0.45901639344262296,0.7,0.8,3.0
0.4426229508196721,0.7,0.9,3.0
0.4262295081967213,0.8,0.1,3.0
0.4262295081967213,0.8,0.2,3.0
0.4426229508196721,0.8,0.3,3.0
0.4098360655737705,0.8,0.5,3.0
0.4098360655737705,0.8,0.6,3.0
0.4262295081967213,0.8,0.7,3.0
0.4262295081967213,0.8,0.8,3.0
0.4426229508196721,0.8,0.9,3.0
0.39344262295081966,0.9,0.1,3.0
0.4098360655737705,0.9,0.2,3.0
0.4098360655737705,0.9,0.3,3.0
0.4262295081967213,0.9,0.5,3.0
0.4262295081967213,0.9,0.6,3.0
0.4426229508196721,0.9,0.7,3.0
0.4262295081967213,0.9,0.8,3.0
0.4918032786885246,0.9,0.9,3.0
0.4875,0.1,0.1,4.0
0.4875,0.1,0.2,4.0
0.475,0.1,0.3,4.0
0.45,0.1,0.5,4.0
0.4625,0.1,0.6,4.0
0.475,0.1,0.7,4.0
0.4875,0.1,0.8,4.0
0.55,0.1,0.9,4.0
0.475,0.2,0.1,4.0
0.475,0.2,0.2,4.0
0.525,0.2,0.3,4.0
0.525,0.2,0.5,4.0
0.5125,0.2,0.6,4.0
0.5,0.2,0.7,4.0
0.475,0.2,0.8,4.0
0.45,0.2,0.9,4.0
0.475,0.3,0.1,4.0
0.4875,0.3,0.2,4.0
0.45,0.3,0.3,4.0
0.45,0.3,0.5,4.0
0.475,0.3,0.6,4.0
0.4625,0.3,0.7,4.0
0.4875,0.3,0.8,4.0
0.475,0.3,0.9,4.0
0.4875,0.5,0.1,4.0
0.475,0.5,0.2,4.0
0.475,0.5,0.3,4.0
0.5,0.5,0.5,4.0
0.5,0.5,0.6,4.0
0.5,0.5,0.7,4.0
0.4875,0.5,0.8,4.0
0.4875,0.5,0.9,4.0
0.4625,0.6,0.1,4.0
0.45,0.6,0.2,4.0
0.45,0.6,0.3,4.0
0.4875,0.6,0.5,4.0
0.4625,0.6,0.6,4.0
0.4625,0.6,0.7,4.0
0.475,0.6,0.8,4.0
0.5,0.6,0.9,4.0
0.475,0.7,0.1,4.0
0.4625,0.7,0.2,4.0
0.4625,0.7,0.3,4.0
0.4375,0.7,0.5,4.0
0.4625,0.7,0.6,4.0
0.4625,0.7,0.7,4.0
0.4625,0.7,0.8,4.0
0.45,0.7,0.9,4.0
0.45,0.8,0.1,4.0
0.4625,0.8,0.2,4.0
0.4625,0.8,0.3,4.0
0.425,0.8,0.5,4.0
0.425,0.8,0.6,4.0
0.4375,0.8,0.7,4.0
0.4375,0.8,0.8,4.0
0.45,0.8,0.9,4.0
0.425,0.9,0.1,4.0
0.4375,0.9,0.2,4.0
0.425,0.9,0.3,4.0
0.4375,0.9,0.5,4.0
0.4375,0.9,0.6,4.0
0.45,0.9,0.7,4.0
0.45,0.9,0.8,4.0
0.5,0.9,0.9,4.0
0.49504950495049505,0.1,0.1,5.0
0.5148514851485149,0.1,0.2,5.0
0.48514851485148514,0.1,0.3,5.0
0.46534653465346537,0.1,0.5,5.0
0.46534653465346537,0.1,0.6,5.0
0.46534653465346537,0.1,0.7,5.0
0.4752475247524752,0.1,0.8,5.0
0.5148514851485149,0.1,0.9,5.0
0.46534653465346537,0.2,0.1,5.0
0.48514851485148514,0.2,0.2,5.0
0.5247524752475248,0.2,0.3,5.0
0.49504950495049505,0.2,0.5,5.0
0.49504950495049505,0.2,0.6,5.0
0.48514851485148514,0.2,0.7,5.0
0.4752475247524752,0.2,0.8,5.0
0.45544554455445546,0.2,0.9,5.0
0.4752475247524752,0.3,0.1,5.0
0.48514851485148514,0.3,0.2,5.0
0.45544554455445546,0.3,0.3,5.0
0.46534653465346537,0.3,0.5,5.0
0.46534653465346537,0.3,0.6,5.0
0.45544554455445546,0.3,0.7,5.0
0.4752475247524752,0.3,0.8,5.0
0.44554455445544555,0.3,0.9,5.0
0.48514851485148514,0.5,0.1,5.0
0.46534653465346537,0.5,0.2,5.0
0.4752475247524752,0.5,0.3,5.0
0.48514851485148514,0.5,0.5,5.0
0.49504950495049505,0.5,0.6,5.0
0.49504950495049505,0.5,0.7,5.0
0.48514851485148514,0.5,0.8,5.0
0.48514851485148514,0.5,0.9,5.0
0.4752475247524752,0.6,0.1,5.0
0.45544554455445546,0.6,0.2,5.0
0.46534653465346537,0.6,0.3,5.0
0.48514851485148514,0.6,0.5,5.0
0.4752475247524752,0.6,0.6,5.0
0.4752475247524752,0.6,0.7,5.0
0.48514851485148514,0.6,0.8,5.0
0.49504950495049505,0.6,0.9,5.0
0.48514851485148514,0.7,0.1,5.0
0.4752475247524752,0.7,0.2,5.0
0.48514851485148514,0.7,0.3,5.0
0.45544554455445546,0.7,0.5,5.0
0.4752475247524752,0.7,0.6,5.0
0.4752475247524752,0.7,0.7,5.0
0.4752475247524752,0.7,0.8,5.0
0.4752475247524752,0.7,0.9,5.0
0.4752475247524752,0.8,0.1,5.0
0.48514851485148514,0.8,0.2,5.0
0.48514851485148514,0.8,0.3,5.0
0.45544554455445546,0.8,0.5,5.0
0.45544554455445546,0.8,0.6,5.0
0.46534653465346537,0.8,0.7,5.0
0.4752475247524752,0.8,0.8,5.0
0.48514851485148514,0.8,0.9,5.0
0.45544554455445546,0.9,0.1,5.0
0.46534653465346537,0.9,0.2,5.0
0.45544554455445546,0.9,0.3,5.0
0.46534653465346537,0.9,0.5,5.0
0.4752475247524752,0.9,0.6,5.0
0.48514851485148514,0.9,0.7,5.0
0.48514851485148514,0.9,0.8,5.0
0.5346534653465347,0.9,0.9,5.0
0.47540983606557374,0.1,0.1,6.0
0.5,0.1,0.2,6.0
0.4918032786885246,0.1,0.3,6.0
0.4918032786885246,0.1,0.5,6.0
0.4918032786885246,0.1,0.6,6.0
0.4918032786885246,0.1,0.7,6.0
0.4918032786885246,0.1,0.8,6.0
0.5327868852459017,0.1,0.9,6.0
0.47540983606557374,0.2,0.1,6.0
0.48360655737704916,0.2,0.2,6.0
0.5245901639344263,0.2,0.3,6.0
0.5163934426229508,0.2,0.5,6.0
0.5081967213114754,0.2,0.6,6.0
0.5,0.2,0.7,6.0
0.4918032786885246,0.2,0.8,6.0
0.47540983606557374,0.2,0.9,6.0
0.45901639344262296,0.3,0.1,6.0
0.48360655737704916,0.3,0.2,6.0
0.4672131147540984,0.3,0.3,6.0
0.47540983606557374,0.3,0.5,6.0
0.47540983606557374,0.3,0.6,6.0
0.4672131147540984,0.3,0.7,6.0
0.47540983606557374,0.3,0.8,6.0
0.4426229508196721,0.3,0.9,6.0
0.4672131147540984,0.5,0.1,6.0
0.45081967213114754,0.5,0.2,6.0
0.45901639344262296,0.5,0.3,6.0
0.45901639344262296,0.5,0.5,6.0
0.4672131147540984,0.5,0.6,6.0
0.4672131147540984,0.5,0.7,6.0
0.45081967213114754,0.5,0.8,6.0
0.45081967213114754,0.5,0.9,6.0
0.45901639344262296,0.6,0.1,6.0
0.4426229508196721,0.6,0.2,6.0
0.4426229508196721,0.6,0.3,6.0
0.45081967213114754,0.6,0.5,6.0
0.4344262295081967,0.6,0.6,6.0
0.4344262295081967,0.6,0.7,6.0
0.4426229508196721,0.6,0.8,6.0
0.45081967213114754,0.6,0.9,6.0
0.45901639344262296,0.7,0.1,6.0
0.45081967213114754,0.7,0.2,6.0
0.45081967213114754,0.7,0.3,6.0
0.4180327868852459,0.7,0.5,6.0
0.4344262295081967,0.7,0.6,6.0
0.4262295081967213,0.7,0.7,6.0
0.4262295081967213,0.7,0.8,6.0
0.4262295081967213,0.7,0.9,6.0
0.45081967213114754,0.8,0.1,6.0
0.45901639344262296,0.8,0.2,6.0
0.45081967213114754,0.8,0.3,6.0
0.4098360655737705,0.8,0.5,6.0
0.4098360655737705,0.8,0.6,6.0
0.4180327868852459,0.8,0.7,6.0
0.4262295081967213,0.8,0.8,6.0
0.4426229508196721,0.8,0.9,6.0
0.4262295081967213,0.9,0.1,6.0
0.4426229508196721,0.9,0.2,6.0
0.4262295081967213,0.9,0.3,6.0
0.4344262295081967,0.9,0.5,6.0
0.4426229508196721,0.9,0.6,6.0
0.45901639344262296,0.9,0.7,6.0
0.45081967213114754,0.9,0.8,6.0
0.5,0.9,0.9,6.0
