index,batch_size,cells,look_back,loss,optimizers,status
0,[3],[0],[0],-0.60072922706604,[2],ok
1,[2],[5],[1],-0.44814810156822205,[1],ok
2,[4],[4],[3],-0.17023807764053345,[2],ok
3,[4],[1],[3],-0.2003968209028244,[2],ok
4,[1],[5],[0],-0.1538461297750473,[2],ok
5,[2],[4],[3],-0.17023807764053345,[2],ok
6,[3],[5],[1],-0.33213067054748535,[1],ok
7,[3],[1],[4],-0.23888885974884033,[0],ok
8,[3],[3],[1],-0.5722221732139587,[2],ok
9,[3],[2],[3],-0.30687829852104187,[1],ok
10,[3],[0],[2],-0.0,[0],ok
11,[1],[0],[0],-0.43139076232910156,[2],ok
12,[4],[1],[1],-0.0,[0],ok
13,[1],[1],[1],-0.5690690279006958,[1],ok
14,[2],[3],[0],-0.36437246203422546,[1],ok
15,[3],[5],[2],-0.44772255420684814,[2],ok
16,[5],[0],[1],-0.37179484963417053,[1],ok
17,[4],[0],[0],-0.0,[0],ok
18,[2],[5],[2],-0.083333320915699,[0],ok
19,[4],[0],[0],-0.0,[0],ok
20,[0],[3],[4],-0.4249030351638794,[2],ok
21,[5],[3],[0],-0.4389742910861969,[2],ok
22,[0],[2],[1],-0.5685248970985413,[2],ok
23,[3],[3],[4],-0.4015767276287079,[2],ok
24,[3],[3],[0],-0.41694533824920654,[2],ok
25,[3],[4],[1],-0.5722221732139587,[2],ok
26,[3],[3],[1],-0.5722221732139587,[2],ok
27,[5],[4],[0],-0.4389742910861969,[2],ok
28,[0],[4],[2],-0.5128205418586731,[2],ok
29,[3],[0],[4],-0.42958998680114746,[2],ok
30,[3],[2],[1],-0.5722221732139587,[2],ok
31,[1],[0],[3],-0.1846153736114502,[2],ok
32,[3],[3],[0],-0.4145298898220062,[2],ok
33,[2],[2],[3],-0.17023807764053345,[2],ok
34,[5],[4],[1],-0.3839994966983795,[1],ok
35,[0],[4],[0],-0.1538461297750473,[2],ok
36,[3],[3],[4],-0.4080808162689209,[2],ok
37,[3],[4],[1],-0.3576490581035614,[1],ok
38,[1],[1],[3],-0.1428571343421936,[0],ok
39,[4],[2],[2],-0.5238094925880432,[2],ok
40,[3],[2],[1],-0.5722221732139587,[2],ok
41,[2],[2],[0],-0.38368645310401917,[1],ok
42,[3],[2],[3],-0.1111110970377922,[0],ok
43,[1],[5],[1],-0.5451769828796387,[2],ok
44,[3],[0],[0],-0.6067776083946228,[2],ok
45,[5],[0],[0],-0.6067776083946228,[1],ok
46,[5],[0],[0],-0.21699343621730804,[1],ok
47,[5],[0],[0],-0.43139076232910156,[1],ok
48,[5],[0],[0],-0.5950474143028259,[1],ok
49,[5],[0],[0],-0.43139076232910156,[1],ok
50,[5],[0],[0],-0.5741487741470337,[1],ok
51,[4],[1],[2],-0.45962730050086975,[1],ok
52,[2],[0],[0],-0.43139076232910156,[1],ok
53,[0],[5],[4],-0.4099821150302887,[0],ok
54,[5],[0],[0],-0.476421982049942,[1],ok
55,[4],[0],[0],-0.423485666513443,[1],ok
56,[1],[1],[2],-0.614814817905426,[0],ok
57,[1],[1],[2],-0.6087318062782288,[0],ok
58,[1],[1],[2],-0.614814817905426,[0],ok
59,[1],[1],[2],-0.5838509202003479,[0],ok
60,[1],[1],[2],-0.6169369220733643,[0],ok
61,[1],[1],[2],-0.6087318062782288,[0],ok
62,[1],[1],[2],-0.6087318062782288,[0],ok
63,[1],[1],[2],-0.6087318062782288,[0],ok
64,[1],[1],[2],-0.6087318062782288,[0],ok
65,[1],[1],[2],-0.5838509202003479,[0],ok
66,[1],[1],[2],-0.614814817905426,[0],ok
67,[1],[1],[2],-0.614814817905426,[0],ok
68,[1],[1],[2],-0.614814817905426,[0],ok
69,[1],[1],[2],-0.5954911112785339,[0],ok
70,[1],[1],[2],-0.6087318062782288,[0],ok
71,[1],[1],[2],-0.6191632151603699,[0],ok
72,[1],[1],[2],-0.5838509202003479,[0],ok
73,[0],[5],[2],-0.5838509202003479,[0],ok
74,[1],[1],[4],-0.4099821150302887,[0],ok
75,[2],[1],[3],-0.1111110970377922,[0],ok
76,[1],[1],[2],-0.614814817905426,[0],ok
77,[4],[5],[2],-0.083333320915699,[0],ok
78,[1],[4],[2],-0.6169369220733643,[0],ok
79,[0],[4],[3],-0.17023807764053345,[0],ok
80,[1],[4],[4],-0.4099821150302887,[0],ok
81,[2],[4],[2],-0.1111110970377922,[0],ok
82,[1],[4],[2],-0.6169369220733643,[0],ok
83,[1],[4],[2],-0.6169369220733643,[0],ok
84,[4],[3],[3],-0.1111110970377922,[0],ok
85,[0],[4],[4],-0.4008207619190216,[0],ok
86,[1],[4],[2],-0.6169369220733643,[0],ok
87,[2],[4],[2],-0.083333320915699,[0],ok
88,[1],[4],[1],-0.5029173493385315,[0],ok
89,[1],[4],[2],-0.6169369220733643,[0],ok
90,[4],[4],[3],-0.1111110970377922,[0],ok
91,[1],[4],[4],-0.4099821150302887,[0],ok
92,[0],[4],[2],-0.6059259176254272,[0],ok
93,[2],[2],[1],-0.0,[0],ok
94,[1],[3],[2],-0.6087318062782288,[0],ok
95,[1],[5],[2],-0.6169369220733643,[0],ok
96,[4],[5],[2],-0.083333320915699,[0],ok
97,[1],[5],[3],-0.2521008253097534,[0],ok
98,[1],[5],[4],-0.4099821150302887,[0],ok
99,[0],[5],[2],-0.4980158507823944,[2],ok
100,[5],[5],[1],-0.33213067054748535,[1],ok
101,[1],[5],[2],-0.609824538230896,[0],ok
102,[3],[5],[2],-0.083333320915699,[0],ok
103,[2],[2],[2],-0.1111110970377922,[0],ok
104,[1],[3],[2],-0.5917873978614807,[2],ok
105,[1],[5],[3],-0.2521008253097534,[0],ok
106,[4],[2],[1],-0.3766465485095978,[1],ok
107,[5],[4],[4],-0.16091953217983246,[0],ok
108,[1],[4],[2],-0.6087318062782288,[0],ok
109,[3],[5],[2],-0.44999995827674866,[2],ok
110,[1],[1],[2],-0.5694444179534912,[1],ok
111,[0],[1],[2],-0.5870370268821716,[0],ok
112,[2],[4],[3],-0.1111110970377922,[0],ok
113,[1],[1],[4],-0.4099821150302887,[0],ok
114,[1],[1],[1],-0.5108224749565125,[0],ok
115,[5],[4],[2],-0.45962730050086975,[2],ok
116,[4],[4],[2],-0.4139130115509033,[1],ok
117,[1],[3],[2],-0.6169369220733643,[0],ok
118,[3],[3],[2],-0.083333320915699,[0],ok
119,[1],[3],[0],-0.43139076232910156,[0],ok
120,[0],[1],[3],-0.17023807764053345,[2],ok
121,[1],[4],[4],-0.4099821150302887,[0],ok
122,[2],[4],[1],-0.3519371449947357,[1],ok
123,[1],[1],[2],-0.614814817905426,[0],ok
124,[5],[3],[2],-0.0952380821108818,[0],ok
125,[4],[2],[2],-0.13333331048488617,[0],ok
126,[1],[3],[0],-0.43139076232910156,[0],ok
127,[3],[3],[2],-0.5310558676719666,[2],ok
128,[1],[3],[3],-0.17023807764053345,[1],ok
129,[0],[3],[2],-0.5870370268821716,[0],ok
130,[1],[3],[4],-0.4099821150302887,[0],ok
131,[2],[1],[1],-0.0,[0],ok
132,[1],[1],[2],-0.614814817905426,[0],ok
133,[1],[5],[2],-0.4922221899032593,[2],ok
134,[5],[3],[0],-0.3892773389816284,[1],ok
135,[4],[0],[2],-0.1309523731470108,[0],ok
136,[3],[1],[3],-0.1111110970377922,[0],ok
137,[1],[2],[2],-0.6258257627487183,[0],ok
138,[0],[2],[4],-0.4099821150302887,[0],ok
139,[1],[2],[1],-0.5451769828796387,[2],ok
140,[2],[2],[2],-0.42082658410072327,[1],ok
141,[1],[2],[2],-0.6169369220733643,[0],ok
142,[1],[2],[0],-0.43139076232910156,[0],ok
143,[5],[2],[2],-0.0952380821108818,[0],ok
144,[4],[2],[2],-0.083333320915699,[0],ok
145,[1],[2],[2],-0.6169369220733643,[0],ok
146,[1],[2],[2],-0.6169369220733643,[0],ok
147,[1],[2],[2],-0.6169369220733643,[0],ok
148,[1],[2],[2],-0.6087318062782288,[0],ok
149,[1],[4],[2],-0.6169369220733643,[0],ok
150,[1],[1],[2],-0.614814817905426,[0],ok
151,[1],[4],[2],-0.6169369220733643,[0],ok
152,[1],[1],[2],-0.614814817905426,[0],ok
153,[1],[4],[2],-0.6016193628311157,[0],ok
154,[1],[4],[2],-0.6169369220733643,[0],ok
155,[1],[0],[2],-0.4960317313671112,[0],ok
156,[3],[2],[3],-0.0952380895614624,[0],ok
157,[0],[4],[4],-0.4008207619190216,[0],ok
158,[1],[4],[1],-0.5029173493385315,[0],ok
159,[2],[5],[2],-0.44999995827674866,[2],ok
160,[1],[5],[2],-0.6169369220733643,[0],ok
161,[1],[5],[2],-0.38333332538604736,[1],ok
162,[1],[5],[0],-0.43139076232910156,[0],ok
163,[5],[3],[2],-0.1111110970377922,[0],ok
164,[3],[4],[2],-0.0952380821108818,[0],ok
165,[4],[4],[3],-0.1111110970377922,[0],ok
166,[1],[0],[4],-0.43015870451927185,[2],ok
167,[0],[4],[1],-0.5108224749565125,[0],ok
168,[1],[4],[2],-0.43005287647247314,[1],ok
169,[2],[2],[2],-0.0952380821108818,[0],ok
170,[1],[4],[0],-0.43139076232910156,[0],ok
171,[1],[1],[2],-0.6191632151603699,[0],ok
172,[5],[1],[2],-0.13333331048488617,[0],ok
173,[4],[1],[3],-0.17023807764053345,[2],ok
174,[1],[1],[2],-0.518357515335083,[1],ok
175,[3],[5],[4],-0.16091953217983246,[0],ok
176,[1],[1],[1],-0.5108224749565125,[0],ok
177,[0],[5],[2],-0.5838509202003479,[0],ok
178,[1],[1],[2],-0.6169369220733643,[0],ok
179,[2],[1],[0],-0.0,[0],ok
180,[1],[0],[2],-0.5788416862487793,[2],ok
181,[1],[3],[2],-0.5277777314186096,[1],ok
182,[5],[2],[2],-0.0952380821108818,[0],ok
183,[4],[1],[3],-0.1904761791229248,[0],ok
184,[1],[1],[4],-0.4099821150302887,[0],ok
185,[3],[5],[1],-0.0,[0],ok
186,[1],[5],[2],-0.609824538230896,[0],ok
187,[1],[2],[2],-0.5593799948692322,[2],ok
188,[0],[2],[0],-0.43139076232910156,[0],ok
189,[2],[5],[2],-0.40256407856941223,[1],ok
190,[1],[1],[2],-0.6087318062782288,[0],ok
191,[1],[0],[3],-0.13333331048488617,[0],ok
192,[5],[1],[2],-0.0952380821108818,[0],ok
193,[4],[1],[1],-0.0,[0],ok
194,[1],[2],[4],-0.4249030351638794,[2],ok
195,[1],[5],[2],-0.6169369220733643,[0],ok
196,[3],[5],[2],-0.39589738845825195,[1],ok
197,[0],[1],[0],-0.43139076232910156,[0],ok
198,[1],[0],[2],-0.4960317313671112,[0],ok
199,[2],[1],[2],-0.083333320915699,[0],ok
200,[1],[2],[2],-0.6169369220733643,[0],ok
201,[1],[5],[3],-0.15833331644535065,[2],ok
202,[1],[2],[2],-0.614814817905426,[0],ok
203,[5],[1],[4],-0.40545499324798584,[1],ok
204,[4],[0],[1],-0.0,[0],ok
205,[1],[5],[2],-0.609824538230896,[0],ok
206,[3],[2],[2],-0.13333331048488617,[0],ok
207,[1],[1],[0],-0.43139076232910156,[0],ok
208,[0],[1],[2],-0.533850908279419,[2],ok
209,[1],[1],[2],-0.614814817905426,[0],ok
