index,batch_size,cells,look_back,loss,optimizers,status
0,[5],[3],[0],-0.1874999850988388,[2],ok
1,[3],[2],[2],-0.0,[0],ok
2,[0],[0],[0],-0.20202021300792694,[2],ok
3,[1],[4],[1],-0.12903223931789398,[0],ok
4,[0],[1],[1],-0.1458333283662796,[0],ok
5,[5],[1],[0],-0.17204298079013824,[1],ok
6,[1],[4],[3],-0.3888888657093048,[0],ok
7,[3],[3],[2],-0.6529914140701294,[2],ok
8,[1],[5],[2],-0.4934934675693512,[0],ok
9,[4],[4],[2],-0.0,[0],ok
10,[0],[1],[3],-0.6618480086326599,[1],ok
11,[5],[2],[1],-0.166666641831398,[2],ok
12,[3],[1],[0],-0.0,[0],ok
13,[0],[4],[3],-0.6259259581565857,[2],ok
14,[2],[1],[4],-0.0,[0],ok
15,[4],[1],[4],-0.19819818437099457,[1],ok
16,[1],[2],[1],-0.12903223931789398,[0],ok
17,[4],[0],[4],-0.2222222089767456,[1],ok
18,[4],[4],[2],-0.1818181723356247,[1],ok
19,[5],[5],[2],-0.1818181723356247,[1],ok
20,[3],[3],[3],-0.7184452414512634,[2],ok
21,[2],[3],[3],-0.6646258234977722,[1],ok
22,[2],[3],[3],-0.678272008895874,[2],ok
23,[2],[3],[3],-0.7127213478088379,[2],ok
24,[3],[3],[3],-0.6890645027160645,[2],ok
25,[2],[3],[3],-0.678272008895874,[2],ok
26,[2],[3],[3],-0.6890645027160645,[2],ok
27,[3],[3],[3],-0.6890645027160645,[2],ok
28,[3],[3],[3],-0.678272008895874,[2],ok
29,[2],[5],[3],-0.6707070469856262,[2],ok
30,[3],[0],[3],-0.18518517911434174,[2],ok
31,[2],[3],[0],-0.1874999850988388,[2],ok
32,[3],[2],[4],-0.18518517911434174,[2],ok
33,[2],[3],[3],-0.7016959190368652,[2],ok
34,[5],[0],[1],-0.1458333283662796,[2],ok
35,[0],[3],[0],-0.20202021300792694,[2],ok
36,[3],[3],[3],-0.6890645027160645,[2],ok
37,[1],[5],[1],-0.1458333283662796,[2],ok
38,[3],[2],[0],-0.1874999850988388,[2],ok
39,[0],[0],[3],-0.19819818437099457,[2],ok
