,batch_size,cells,look_back_proportion,loss,optimizers,status
0,[1],[0],[0],-0.657142858845847,[2],ok
1,[1],[0],[0],-0.6428571445601327,[1],ok
2,[5],[0],[0],-0.6142857159887042,[1],ok
3,[3],[0],[0],-0.6285714302744184,[2],ok
4,[1],[0],[0],-0.6285714302744184,[0],ok
5,[4],[0],[0],-0.4285714302744184,[0],ok
6,[3],[0],[0],-0.6142857159887042,[1],ok
7,[4],[0],[0],-0.6285714302744184,[1],ok
8,[5],[0],[0],-0.6285714302744184,[2],ok
9,[4],[0],[0],-0.6285714302744184,[1],ok
10,[1],[0],[0],-0.657142858845847,[1],ok
11,[6],[0],[0],-0.657142858845847,[0],ok
12,[4],[0],[0],-0.6285714302744184,[1],ok
13,[3],[0],[0],-0.6142857159887042,[1],ok
14,[3],[0],[0],-0.6142857159887042,[2],ok
15,[3],[0],[0],-0.6142857159887042,[2],ok
16,[2],[0],[0],-0.6142857159887042,[2],ok
17,[4],[0],[0],-0.6428571445601327,[2],ok
18,[4],[0],[0],-0.6142857159887042,[1],ok
19,[4],[0],[0],-0.6142857159887042,[2],ok
20,[6],[0],[0],-0.4285714302744184,[0],ok
21,[0],[0],[0],-0.6285714302744184,[0],ok
22,[6],[0],[0],-0.4285714302744184,[0],ok
23,[1],[0],[0],-0.657142858845847,[2],ok
24,[1],[0],[0],-0.6714285731315612,[1],ok
25,[1],[0],[0],-0.6142857159887042,[2],ok
26,[1],[0],[0],-0.6428571445601327,[1],ok
27,[2],[0],[0],-0.6142857159887042,[2],ok
28,[0],[0],[0],-0.6714285731315612,[1],ok
29,[0],[0],[0],-0.6714285731315612,[1],ok
30,[0],[0],[0],-0.6428571445601327,[1],ok
31,[0],[0],[0],-0.6714285731315612,[1],ok
32,[0],[0],[0],-0.6428571445601327,[1],ok
33,[0],[0],[0],-0.6714285731315612,[1],ok
34,[0],[0],[0],-0.657142858845847,[1],ok
35,[5],[0],[0],-0.6142857159887042,[1],ok
36,[0],[0],[0],-0.6714285731315612,[1],ok
37,[0],[0],[0],-0.6714285731315612,[1],ok
38,[0],[0],[0],-0.6428571445601327,[1],ok
39,[5],[0],[0],-0.6857142874172756,[0],ok
40,[5],[0],[0],-0.4285714302744184,[0],ok
41,[5],[0],[0],-0.5857142874172756,[0],ok
42,[5],[0],[0],-0.6000000017029898,[0],ok
43,[5],[0],[0],-0.4285714302744184,[0],ok
44,[2],[0],[0],-0.6142857159887042,[0],ok
45,[5],[0],[0],-0.4285714302744184,[0],ok
46,[6],[0],[0],-0.7000000017029898,[0],ok
47,[6],[0],[0],-0.4285714302744184,[0],ok
48,[6],[0],[0],-0.4285714302744184,[0],ok
49,[6],[0],[0],-0.4285714302744184,[0],ok
50,[6],[0],[0],-0.4285714302744184,[0],ok
51,[3],[0],[0],-0.4285714302744184,[0],ok
52,[6],[0],[0],-0.4285714302744184,[0],ok
53,[2],[0],[0],-0.6714285731315612,[0],ok
54,[5],[0],[0],-0.4285714302744184,[0],ok
55,[3],[0],[0],-0.4285714302744184,[0],ok
56,[6],[0],[0],-0.657142858845847,[0],ok
57,[4],[0],[0],-0.4285714302744184,[0],ok
58,[5],[0],[0],-0.6142857159887042,[2],ok
59,[6],[0],[0],-0.6000000017029898,[0],ok
60,[2],[0],[0],-0.4285714302744184,[0],ok
61,[1],[0],[0],-0.6285714302744184,[2],ok
62,[3],[0],[0],-0.6428571445601327,[0],ok
63,[4],[0],[0],-0.4285714302744184,[0],ok
64,[5],[0],[0],-0.6142857159887042,[2],ok
65,[6],[0],[0],-0.6142857159887042,[1],ok
66,[0],[0],[0],-0.6285714302744184,[1],ok
67,[1],[0],[0],-0.6428571445601327,[1],ok
68,[0],[0],[0],-0.6714285731315612,[1],ok
69,[5],[0],[0],-0.4285714302744184,[0],ok
70,[2],[0],[0],-0.4285714302744184,[0],ok
71,[6],[0],[0],-0.6285714302744184,[1],ok
72,[4],[0],[0],-0.6142857159887042,[2],ok
73,[0],[0],[0],-0.657142858845847,[1],ok
74,[3],[0],[0],-0.4285714302744184,[0],ok
75,[5],[0],[0],-0.6285714302744184,[1],ok
76,[0],[0],[0],-0.6428571445601327,[0],ok
77,[6],[0],[0],-0.7428571445601327,[2],ok
78,[6],[0],[0],-0.6285714302744184,[2],ok
79,[6],[0],[0],-0.6285714302744184,[2],ok
80,[6],[0],[0],-0.6285714302744184,[2],ok
81,[6],[0],[0],-0.6285714302744184,[2],ok
82,[6],[0],[0],-0.657142858845847,[2],ok
83,[6],[0],[0],-0.6142857159887042,[2],ok
84,[5],[0],[0],-0.6285714302744184,[2],ok
85,[1],[0],[0],-0.6428571445601327,[2],ok
86,[6],[0],[0],-0.6142857159887042,[2],ok
87,[2],[0],[0],-0.6285714302744184,[0],ok
88,[4],[0],[0],-0.7000000017029898,[0],ok
89,[4],[0],[0],-0.6142857159887042,[2],ok
90,[4],[0],[0],-0.6714285731315612,[0],ok
91,[4],[0],[0],-0.4285714302744184,[0],ok
92,[4],[0],[0],-0.6142857159887042,[2],ok
93,[4],[0],[0],-0.6714285731315612,[0],ok
94,[4],[0],[0],-0.7000000017029898,[0],ok
95,[3],[0],[0],-0.6285714302744184,[2],ok
96,[6],[0],[0],-0.4285714302744184,[0],ok
97,[4],[0],[0],-0.4285714302744184,[0],ok
98,[1],[0],[0],-0.6714285731315612,[2],ok
99,[4],[0],[0],-0.557142858845847,[0],ok
