CMDLINE /usr/local/opt/python/bin/python3.7 __main__.py
MEM 0.289062 1567887069.1900
MEM 10.273438 1567887069.2913
MEM 18.468750 1567887069.3923
MEM 28.324219 1567887069.4975
MEM 38.644531 1567887069.5980
MEM 55.636719 1567887069.7032
MEM 88.484375 1567887069.8085
MEM 93.222656 1567887069.9119
MEM 106.085938 1567887070.0171
MEM 112.984375 1567887070.1204
MEM 121.453125 1567887070.2257
MEM 129.488281 1567887070.3265
MEM 140.445312 1567887070.4303
MEM 144.890625 1567887070.5326
MEM 156.667969 1567887070.6379
MEM 163.320312 1567887070.7419
MEM 170.019531 1567887070.8466
MEM 175.234375 1567887070.9519
MEM 178.089844 1567887071.0533
MEM 182.480469 1567887071.1547
MEM 191.648438 1567887071.2550
MEM 198.835938 1567887071.3553
MEM 209.421875 1567887071.4585
MEM 209.707031 1567887071.5631
MEM 209.859375 1567887071.6646
MEM 222.992188 1567887071.7698
MEM 247.511719 1567887071.8705
MEM 282.128906 1567887071.9737
MEM 303.371094 1567887072.0750
MEM 330.421875 1567887072.1802
MEM 357.207031 1567887072.2812
MEM 340.097656 1567887072.3853
MEM 410.015625 1567887072.4863
MEM 438.562500 1567887072.5868
MEM 468.980469 1567887072.6905
MEM 519.355469 1567887072.7917
MEM 558.121094 1567887072.8920
MEM 560.925781 1567887072.9953
MEM 565.410156 1567887073.0998
MEM 572.632812 1567887073.2001
MEM 578.644531 1567887073.3012
MEM 584.636719 1567887073.4015
MEM 590.628906 1567887073.5020
MEM 599.011719 1567887073.6057
MEM 605.609375 1567887073.7079
MEM 611.601562 1567887073.8106
MEM 620.589844 1567887073.9110
MEM 626.632812 1567887074.0146
MEM 458.714844 1567887074.1154
MEM 382.507812 1567887074.2160
MEM 437.367188 1567887074.3166
MEM 444.355469 1567887074.4220
MEM 472.371094 1567887074.5272
MEM 465.089844 1567887074.6325
MEM 335.347656 1567887074.7332
MEM 337.742188 1567887074.8335
MEM 337.851562 1567887074.9338
MEM 338.230469 1567887075.0370
MEM 338.269531 1567887075.1422
MEM 338.269531 1567887075.2469
MEM 338.273438 1567887075.3491
MEM 338.359375 1567887075.4522
MEM 338.484375 1567887075.5568
MEM 338.582031 1567887075.6589
MEM 338.683594 1567887075.7594
MEM 338.781250 1567887075.8622
MEM 338.906250 1567887075.9646
MEM 339.121094 1567887076.0695
MEM 339.242188 1567887076.1747
MEM 339.328125 1567887076.2798
MEM 339.464844 1567887076.3839
MEM 339.535156 1567887076.4846
MEM 339.617188 1567887076.5899
MEM 339.628906 1567887076.6902
MEM 339.656250 1567887076.7921
MEM 339.765625 1567887076.8973
MEM 339.875000 1567887076.9980
MEM 339.972656 1567887077.1000
MEM 340.074219 1567887077.2052
MEM 340.183594 1567887077.3091
MEM 340.281250 1567887077.4102
MEM 340.351562 1567887077.5112
MEM 340.464844 1567887077.6123
MEM 340.550781 1567887077.7126
MEM 340.691406 1567887077.8148
MEM 340.796875 1567887077.9153
MEM 340.906250 1567887078.0160
MEM 341.023438 1567887078.1166
MEM 341.144531 1567887078.2171
MEM 341.238281 1567887078.3181
MEM 341.335938 1567887078.4186
MEM 341.730469 1567887078.5213
MEM 341.828125 1567887078.6235
MEM 341.992188 1567887078.7258
MEM 342.093750 1567887078.8279
MEM 342.183594 1567887078.9303
MEM 342.289062 1567887079.0312
